"Name","State","District"
"Andhra Pradesh--Northern Eastern Ghats","Andhra Pradesh","multiple"
"Arunachal Pradesh--Dibang Valley Lowlands","Arunachal Pradesh","Lower Dibang Valley"
"Arunachal Pradesh--West Kameng Highlands","Arunachal Pradesh","West Kameng"
"Arunachal Pradesh--West Kameng Lowlands","Arunachal Pradesh","West Kameng"
"Assam--Garbhanga Forest Landscape","Assam","multiple"
"Assam--Nameri Forest Landscape","Assam","Sonitpur"
"Gujarat--Coast","Gujarat","multiple"
"Himachal Pradesh--Kangra Highlands","Himachal Pradesh","Kangra"
"Himachal Pradesh--Lahaul","Himachal Pradesh","Lahaul"
"Karnataka--Belagavi Ghats","Karnataka","Belagavi"
"Karnataka--Chamarajanagara Ghats","Karnataka","Chamarajanagara"
"Karnataka--Chikkamagaluru Ghats","Karnataka","Chikkamagaluru"
"Karnataka--Dakshina Kannada Ghats","Karnataka","Dakshina Kannada"
"Karnataka--Hassan Ghats","Karnataka","Hassan"
"Karnataka--Nagarhole Forest Landscape","Karnataka","multiple"
"Karnataka--Ramanagara Ghats","Karnataka","Ramanagara"
"Karnataka--Shivamogga Ghats","Karnataka","Shivamogga"
"Karnataka--Udupi Ghats","Karnataka","Udupi"
"Karnataka--Uttara Kannada Ghats","Karnataka","Uttara Kannada"
"Ladakh--Leh Mountains","Ladakh","Leh"
"Maharashtra--Ahmednagar Ghats","Maharashtra","Ahmednagar"
"Maharashtra--Amravati Hills","Maharashtra","Amravati"
"Maharashtra--Buldhana Hills","Maharashtra","Buldhana"
"Maharashtra--Dhule Hills","Maharashtra","Dhule"
"Maharashtra--Jalgaon Hills","Maharashtra","Jalgaon"
"Maharashtra--Kolhapur Ghats","Maharashtra","Kolhapur"
"Maharashtra--Nagpur Hills","Maharashtra","Nagpur"
"Maharashtra--Nandurbar Hills","Maharashtra","Nandurbar"
"Maharashtra--Nashik Ghats","Maharashtra","Nashik"
"Maharashtra--Pune Ghats","Maharashtra","Pune"
"Maharashtra--Sangli Ghats","Maharashtra","Sangli"
"Maharashtra--Satara Ghats","Maharashtra","Satara"
"Uttarakhand--NainitalBelow1000","Uttarakhand","Nainital"
"Uttarakhand--DehradunBelow1000","Uttarakhand","Dehradun"
"Tamil Nadu--Valparai","Tamil Nadu","Coimbatore"
"Tamil Nadu--Gudalur","Tamil Nadu","The Nilgiris"
"Tamil Nadu--Masinagudi","Tamil Nadu","The Nilgiris"
"Tamil Nadu--Sirumalai Hills","Tamil Nadu","multiple"
"Tamil Nadu--Tiruppur Ghats--Anamalai","Tamil Nadu","Tiruppur"
"Tamil Nadu--Jawadhu Hills","Tamil Nadu","multiple"
"Tamil Nadu--Kalvarayan Hills","Tamil Nadu","multiple"
"Tamil Nadu--Kolli Hills","Tamil Nadu","multiple"
"Tamil Nadu--Nilgiri Plateau","Tamil Nadu","The Nilgiris"
"Tamil Nadu--Coimbatore Ghats","Tamil Nadu","Coimbatore"
"Tamil Nadu--Tiruppur Ghats","Tamil Nadu","Tiruppur"
"Tamil Nadu--Dharmapuri Ghats","Tamil Nadu","Dharmapuri"
"Tamil Nadu--Dindigul Ghats","Tamil Nadu","Dindigul"
"Tamil Nadu--Erode Ghats","Tamil Nadu","Erode"
"Tamil Nadu--Kanniyakumari Ghats","Tamil Nadu","Kanniyakumari"
"Tamil Nadu--Krishnagiri Ghats","Tamil Nadu","Krishnagiri"
"Tamil Nadu--Madurai Ghats","Tamil Nadu","Madurai"
"Tamil Nadu--Salem Ghats","Tamil Nadu","Salem"
"Tamil Nadu--Tenkasi Ghats","Tamil Nadu","Tenkasi"
"Tamil Nadu--Theni Ghats","Tamil Nadu","Theni"
"Tamil Nadu--Tirunelveli Ghats","Tamil Nadu","Tirunelveli"
"Tamil Nadu--Virudhunagar Ghats","Tamil Nadu","Virudhunagar"
"West Bengal--Sundarbans","West Bengal","multiple"
